,ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
18,518,sdv-pii-6yloc,sdv-pii-9jaeu,IND,2,0,0,Maine,Graduate Professional
19,519,sdv-pii-mzl4b,sdv-pii-gykc2,BJP,1,211 Crore+,5 Lac+,Arizona,Graduate
20,520,sdv-pii-6v1pf,sdv-pii-y8ftn,BJP,0,9 Crore+,20 Crore+,Maryland,8th Pass
21,521,sdv-pii-30ha6,sdv-pii-x8q2f,BJP,2,5 Crore+,14 Lac+,West Virginia,12th Pass
22,522,sdv-pii-cs50i,sdv-pii-vthbl,IND,1,11 Lac+,3 Lac+,Michigan,Post Graduate
23,523,sdv-pii-g3i4t,sdv-pii-27khc,CPI(M),5,20 Crore+,3 Lac+,Maine,Graduate
24,524,sdv-pii-67wj0,sdv-pii-mhdak,CPI(M),1,0,0,New York,8th Pass
25,525,sdv-pii-19uir,sdv-pii-4n9df,RJD,2,79 Lac+,32 Crore+,Tennessee,Post Graduate
26,526,sdv-pii-ar2i7,sdv-pii-azxjl,AITC,2,49 Crore+,0,Nevada,Graduate Professional
27,527,sdv-pii-ls84x,sdv-pii-0jqsw,BJP,3,45 Lac+,6 Lac+,Tennessee,Post Graduate
28,528,sdv-pii-1wg3k,sdv-pii-wnho0,BJP,0,89 Lac+,6 Crore+,New Hampshire,Graduate
29,529,sdv-pii-cd8nk,sdv-pii-n529v,INC,0,1156 Crore+,4 Crore+,Indiana,Post Graduate
30,530,sdv-pii-moqgm,sdv-pii-wvuyd,BJP,1,53 Crore+,95 Lac+,Louisiana,Post Graduate
31,531,sdv-pii-bynro,sdv-pii-e9yhg,BJP,3,4 Crore+,76 Lac+,Maine,Post Graduate
32,532,sdv-pii-0qz0o,sdv-pii-7e3n0,BJP,0,13 Crore+,34 Lac+,Mississippi,Graduate
33,533,sdv-pii-0xarj,sdv-pii-jx91i,CPI(M),2,33 Crore+,20 Lac+,Kentucky,12th Pass
34,534,sdv-pii-yh5q8,sdv-pii-3ct0v,BJP,4,34 Crore+,27 Lac+,Louisiana,Post Graduate
35,535,sdv-pii-reqir,sdv-pii-vl12v,JD(U),5,0,2 Crore+,Hawaii,12th Pass
36,536,sdv-pii-4kt59,sdv-pii-a10l1,NDPP,0,4 Crore+,0,Alaska,Graduate
37,537,sdv-pii-8kqve,sdv-pii-24uy4,YSRCP,6,36 Lac+,20 Lac+,Utah,Post Graduate
38,538,sdv-pii-32lyw,sdv-pii-rq1g7,IND,2,3 Crore+,0,Florida,12th Pass
39,539,sdv-pii-l8aq9,sdv-pii-hijow,INC,3,106 Crore+,8 Lac+,Maryland,Graduate
40,540,sdv-pii-34bhb,sdv-pii-o104e,BJP,1,99 Lac+,27 Crore+,Indiana,Post Graduate
41,541,sdv-pii-4cyrx,sdv-pii-v8179,BJP,1,6 Crore+,10 Lac+,Arkansas,Graduate
42,542,sdv-pii-4qkye,sdv-pii-l6h34,BJP,1,16 Crore+,19 Crore+,Minnesota,Graduate Professional
43,543,sdv-pii-tok2n,sdv-pii-foqmt,INC,1,1 Crore+,0,Montana,Post Graduate
44,544,sdv-pii-ypnw1,sdv-pii-o6iia,INC,0,35 Crore+,7 Lac+,Delaware,Post Graduate
45,545,sdv-pii-ixk82,sdv-pii-bmzrz,INC,1,13 Crore+,6 Lac+,Missouri,12th Pass
46,546,sdv-pii-s15ln,sdv-pii-bnxeg,INC,0,11 Lac+,25 Thou+,Texas,Graduate
47,547,sdv-pii-pzmak,sdv-pii-buopo,YSRCP,0,17 Crore+,5 Lac+,Texas,Doctorate
48,548,sdv-pii-q4d4k,sdv-pii-z0ibf,AAP,0,5 Crore+,14 Lac+,Colorado,Post Graduate
49,549,sdv-pii-ubaic,sdv-pii-qxjyt,BJP,3,95 Lac+,2 Crore+,Oklahoma,12th Pass
50,550,sdv-pii-zisy6,sdv-pii-vhtsb,NCP,3,9 Crore+,0,Connecticut,Graduate Professional
51,551,sdv-pii-b6dgu,sdv-pii-hxa2u,INC,0,61 Lac+,9 Crore+,Idaho,Post Graduate
52,552,sdv-pii-jyeqj,sdv-pii-sxq8o,INC,3,17 Crore+,1 Crore+,Florida,Graduate
53,553,sdv-pii-4hita,sdv-pii-g3rlc,BJP,0,6 Crore+,8 Lac+,Arizona,12th Pass
54,554,sdv-pii-estqp,sdv-pii-9178w,IND,0,4 Crore+,32 Lac+,Connecticut,5th Pass
55,555,sdv-pii-sndoo,sdv-pii-6zwg3,INC,1,45 Crore+,3 Lac+,Oklahoma,Graduate
56,556,sdv-pii-rbxeb,sdv-pii-s1x3g,JD(U),7,1 Crore+,0,Wisconsin,Graduate
57,557,sdv-pii-9ayub,sdv-pii-8dtho,DMK,9,15 Crore+,50 Thou+,Alabama,Post Graduate
58,558,sdv-pii-d4if0,sdv-pii-slpdb,INC,1,7 Crore+,63 Lac+,Texas,Graduate Professional
59,559,sdv-pii-pxa2c,sdv-pii-swln5,BJP,3,18 Crore+,27 Lac+,Nevada,Graduate
60,560,sdv-pii-6nbjp,sdv-pii-n6vln,BJP,0,67 Lac+,4 Crore+,Minnesota,12th Pass
61,561,sdv-pii-dfe9n,sdv-pii-o701q,SHS,2,21 Crore+,1 Crore+,Rhode Island,Post Graduate
62,562,sdv-pii-dx3sb,sdv-pii-ml805,BJP,0,11 Crore+,2 Crore+,Utah,Graduate
63,563,sdv-pii-qgipc,sdv-pii-rl2z8,BJP,4,0,3 Lac+,New Hampshire,Post Graduate
64,564,sdv-pii-c6adh,sdv-pii-tnmed,BJP,3,9 Crore+,0,Massachusetts,Post Graduate
65,565,sdv-pii-f6nrd,sdv-pii-44iw2,SP,2,11 Crore+,35 Lac+,New Mexico,12th Pass
66,566,sdv-pii-5asv5,sdv-pii-8bu0l,BJP,2,2 Crore+,0,Alaska,Graduate Professional
67,567,sdv-pii-c8t0r,sdv-pii-2s9yp,BJP,3,51 Crore+,36 Lac+,Texas,Post Graduate
68,568,sdv-pii-971tl,sdv-pii-we2sk,TDP,3,2 Crore+,15 Lac+,California,Graduate
69,569,sdv-pii-qn3mf,sdv-pii-62urd,BJP,1,26 Lac+,0,Tennessee,Graduate Professional
70,570,sdv-pii-4y5up,sdv-pii-v7otf,SHS,2,0,10 Lac+,New Jersey,Graduate
71,571,sdv-pii-wq0c3,sdv-pii-ckqv5,JD(U),0,211 Crore+,15 Lac+,Colorado,Graduate
72,572,sdv-pii-mrg0i,sdv-pii-i0xsz,BJP,1,10 Crore+,111 Crore+,Massachusetts,12th Pass
73,573,sdv-pii-hn8bs,sdv-pii-fdahr,BJP,0,0,35 Lac+,Louisiana,12th Pass
74,574,sdv-pii-fipyk,sdv-pii-6fg6f,BJP,1,37 Lac+,74 Thou+,Montana,Graduate
75,575,sdv-pii-bgeha,sdv-pii-wod20,BJP,3,6 Crore+,13 Lac+,New Hampshire,Graduate Professional
76,576,sdv-pii-c7ufe,sdv-pii-25jre,RJD,0,0,8 Lac+,Delaware,Post Graduate
77,577,sdv-pii-bnjfo,sdv-pii-j6uv4,YSRCP,1,0,17 Lac+,Nebraska,Post Graduate
78,578,sdv-pii-uq320,sdv-pii-gn0jt,BJP,7,18 Lac+,33 Crore+,Colorado,Post Graduate
79,579,sdv-pii-xmv34,sdv-pii-v02hr,BJP,0,46 Crore+,61 Lac+,Michigan,Post Graduate
80,580,sdv-pii-r4csm,sdv-pii-zyqnc,INC,3,1 Crore+,0,Virginia,Post Graduate
81,581,sdv-pii-jeaii,sdv-pii-1442t,BJP,1,0,0,Utah,5th Pass
82,582,sdv-pii-p14cp,sdv-pii-awpxe,BJP,0,15 Crore+,14 Crore+,Texas,Graduate
83,583,sdv-pii-p4jja,sdv-pii-haz5i,BJP,1,15 Crore+,68 Lac+,Tennessee,Graduate
84,584,sdv-pii-qeral,sdv-pii-5z6oi,BJP,0,3 Crore+,6 Crore+,Minnesota,12th Pass
85,585,sdv-pii-ih2hy,sdv-pii-mwa7u,BJP,1,0,20 Crore+,Mississippi,Graduate
86,586,sdv-pii-ixe5z,sdv-pii-ge0eg,BJP,3,1 Crore+,0,Mississippi,8th Pass
87,587,sdv-pii-mz9zo,sdv-pii-ndrv0,AITC,0,9 Crore+,1 Crore+,Missouri,Post Graduate
88,588,sdv-pii-j7ewq,sdv-pii-0rxqb,BJP,1,45 Lac+,25 Lac+,Michigan,Post Graduate
89,589,sdv-pii-rr4ug,sdv-pii-33ru2,BJP,2,42 Lac+,4 Crore+,Colorado,Post Graduate
90,590,sdv-pii-3hpqd,sdv-pii-e6drx,NCP,0,56 Lac+,0,Arkansas,12th Pass
91,591,sdv-pii-9odyi,sdv-pii-8hgu9,BJP,1,62 Lac+,0,Maine,Graduate Professional
92,592,sdv-pii-qy0qq,sdv-pii-lgyys,INC,2,7 Crore+,0,Georgia,Doctorate
93,593,sdv-pii-b1vvb,sdv-pii-i0uep,BJP,0,54 Crore+,94 Lac+,Connecticut,Graduate
94,594,sdv-pii-ondvw,sdv-pii-yq9m1,SP,0,7 Crore+,1 Crore+,Utah,8th Pass
95,595,sdv-pii-zph3q,sdv-pii-vd97h,BJP,8,15 Crore+,0,Oklahoma,Post Graduate
96,596,sdv-pii-l40uo,sdv-pii-xzdke,JD(U),0,47 Lac+,41 Lac+,South Dakota,Graduate
97,597,sdv-pii-ob3u6,sdv-pii-weiqo,NDPP,1,0,0,California,Graduate
98,598,sdv-pii-jxliw,sdv-pii-mczif,BJP,3,27 Crore+,27 Lac+,Missouri,Graduate
99,599,sdv-pii-whs8b,sdv-pii-akqdp,BJP,0,12 Crore+,8 Lac+,Oklahoma,Graduate
100,600,sdv-pii-tf1ms,sdv-pii-mxzrz,INC,0,0,61 Lac+,Massachusetts,Graduate Professional
101,601,sdv-pii-mlzkf,sdv-pii-xatlr,BJP,0,23 Lac+,0,South Dakota,Post Graduate
102,602,sdv-pii-64rbh,sdv-pii-qspet,BJP,1,3 Crore+,3 Crore+,Iowa,Others
103,603,sdv-pii-svgpj,sdv-pii-q4jss,BJP,5,313 Crore+,20 Crore+,Kansas,Graduate
104,604,sdv-pii-4b5i9,sdv-pii-111cr,CPI(M),1,0,20 Lac+,Connecticut,Graduate Professional
105,605,sdv-pii-divt2,sdv-pii-zc5kt,INC,0,5 Crore+,18 Lac+,Arkansas,Graduate
106,606,sdv-pii-76v7u,sdv-pii-x6ok4,SP,0,59 Lac+,881 Crore+,Rhode Island,Graduate
107,607,sdv-pii-f28ej,sdv-pii-cmyir,INC,1,3 Crore+,3 Lac+,Alaska,Graduate
108,608,sdv-pii-5iqnf,sdv-pii-tiuk1,NDPP,2,10 Crore+,1 Crore+,North Carolina,Post Graduate
109,609,sdv-pii-n9vxf,sdv-pii-1xuao,BJP,2,64 Lac+,0,North Dakota,Doctorate
110,610,sdv-pii-6o64z,sdv-pii-5e57d,BJP,0,14 Lac+,16 Lac+,Louisiana,Graduate
111,611,sdv-pii-7mnop,sdv-pii-mn2jj,INC,0,57 Lac+,0,New Hampshire,Post Graduate
112,612,sdv-pii-lok4m,sdv-pii-i3p79,BJP,2,37 Lac+,2 Lac+,Louisiana,Post Graduate
113,613,sdv-pii-1jiwv,sdv-pii-ig3f4,BJP,0,0,5 Crore+,Massachusetts,Post Graduate
114,614,sdv-pii-8bix5,sdv-pii-wepp8,DMK,2,65 Lac+,14 Lac+,Connecticut,Graduate
115,615,sdv-pii-d61se,sdv-pii-hib93,YSRCP,3,63 Crore+,4 Crore+,Florida,Post Graduate
116,616,sdv-pii-0hdas,sdv-pii-k35ne,Tipra Motha Party,2,1 Crore+,0,Mississippi,Others
117,617,sdv-pii-x5zfv,sdv-pii-knv0b,AIADMK,0,9 Crore+,0,North Dakota,Post Graduate
118,618,sdv-pii-ic89k,sdv-pii-i1vi6,BJP,3,10 Crore+,28 Lac+,New York,Graduate Professional
119,619,sdv-pii-i75dw,sdv-pii-a8iuy,BJP,1,8 Lac+,0,Rhode Island,10th Pass
120,620,sdv-pii-2x49s,sdv-pii-k5m8i,BJP,2,49 Lac+,94 Lac+,South Dakota,Graduate
121,621,sdv-pii-kvoap,sdv-pii-icxot,AITC,6,1 Crore+,0,Nevada,Post Graduate
122,622,sdv-pii-jxxr3,sdv-pii-w0f3d,BJP,3,12 Crore+,24 Lac+,New York,Graduate
123,623,sdv-pii-wwa7q,sdv-pii-qxcd8,JMM,0,2 Crore+,0,Wisconsin,8th Pass
124,624,sdv-pii-ujneg,sdv-pii-1um2q,BJP,2,10 Crore+,3 Lac+,Pennsylvania,12th Pass
125,625,sdv-pii-n1v83,sdv-pii-ogptb,BJP,1,14 Crore+,25 Lac+,Rhode Island,Graduate
126,626,sdv-pii-iin0m,sdv-pii-thntj,INC,2,2 Crore+,1 Crore+,Oklahoma,Graduate Professional
127,627,sdv-pii-9uwyz,sdv-pii-den3f,BJP,2,16 Lac+,0,Rhode Island,Post Graduate
128,628,sdv-pii-1pbyd,sdv-pii-21eyc,BJP,1,1 Crore+,6 Lac+,Arkansas,Post Graduate
129,629,sdv-pii-82hkq,sdv-pii-6xw7c,YSRCP,5,11 Crore+,36 Lac+,Nevada,Post Graduate
130,630,sdv-pii-zlpyz,sdv-pii-s41nv,NDPP,0,26 Lac+,29 Lac+,Missouri,Post Graduate
131,631,sdv-pii-x7h71,sdv-pii-723si,INC,0,46 Lac+,0,Illinois,Graduate Professional
132,632,sdv-pii-ksvsx,sdv-pii-7wcy0,BJP,1,10 Crore+,47 Thou+,New York,Post Graduate
133,633,sdv-pii-25qbs,sdv-pii-7cvxn,BJP,0,99 Lac+,0,Pennsylvania,Literate
134,634,sdv-pii-61jl8,sdv-pii-ufout,INC,1,9 Crore+,28 Lac+,Maine,10th Pass
135,635,sdv-pii-92yr7,sdv-pii-yycjo,BJP,2,49 Lac+,0,Vermont,12th Pass
136,636,sdv-pii-b9wlc,sdv-pii-f4htc,BJP,2,8 Crore+,32 Lac+,South Dakota,Graduate
137,637,sdv-pii-6l2zx,sdv-pii-c44et,BJP,0,6 Lac+,2 Lac+,Mississippi,12th Pass
138,638,sdv-pii-0q79n,sdv-pii-h56ri,BJP,4,28 Lac+,10 Lac+,West Virginia,12th Pass
139,639,sdv-pii-u7kw9,sdv-pii-zirvn,BJP,2,6 Crore+,61 Lac+,Kentucky,Graduate
140,640,sdv-pii-h7t77,sdv-pii-m4hza,AAP,2,4 Crore+,48 Lac+,Massachusetts,Graduate
141,641,sdv-pii-5iz7v,sdv-pii-rs3ex,DMK,2,2 Crore+,2 Lac+,Hawaii,12th Pass
142,642,sdv-pii-u1kse,sdv-pii-tpj0s,BJP,0,97 Lac+,10 Lac+,Utah,Graduate
143,643,sdv-pii-cz7ci,sdv-pii-py162,AAP,6,10 Crore+,11 Lac+,Oregon,Post Graduate
144,644,sdv-pii-551ez,sdv-pii-p73q4,BJP,0,43 Crore+,3 Lac+,Connecticut,10th Pass
145,645,sdv-pii-34wp9,sdv-pii-rzshz,BJP,3,17 Crore+,31 Lac+,New York,Graduate Professional
146,646,sdv-pii-u7j5c,sdv-pii-09p2a,AIADMK,16,4 Crore+,0,Oklahoma,Graduate Professional
147,647,sdv-pii-9qd10,sdv-pii-978f3,RJD,3,0,0,Wyoming,Graduate
148,648,sdv-pii-og6yz,sdv-pii-geh0x,BJP,0,98 Lac+,0,Idaho,Graduate
149,649,sdv-pii-4wh7v,sdv-pii-hphz8,TDP,2,2 Crore+,0,South Dakota,Graduate
150,650,sdv-pii-6dtq0,sdv-pii-r9igv,BJP,4,15 Crore+,16 Lac+,Alabama,Post Graduate
151,651,sdv-pii-y8ows,sdv-pii-s650t,INC,1,19 Crore+,0,Louisiana,Post Graduate
152,652,sdv-pii-fhupn,sdv-pii-gesqw,Tipra Motha Party,0,2 Crore+,15 Lac+,New Hampshire,Post Graduate
153,653,sdv-pii-pey7j,sdv-pii-xoh8f,BJP,1,1267 Crore+,881 Crore+,Wyoming,10th Pass
154,654,sdv-pii-2n9eq,sdv-pii-ofuv7,INC,2,20 Crore+,0,California,12th Pass
155,655,sdv-pii-1xjiu,sdv-pii-3ar04,RJD,0,4 Crore+,0,Tennessee,Post Graduate
156,656,sdv-pii-w7080,sdv-pii-ssoic,BJP,2,14 Crore+,1 Lac+,Kansas,Graduate Professional
157,657,sdv-pii-irkg6,sdv-pii-6ties,BJP,2,61 Lac+,71 Lac+,Massachusetts,Post Graduate
158,658,sdv-pii-sxkpo,sdv-pii-4ywqq,BJP,0,6 Crore+,3 Lac+,Idaho,8th Pass
159,659,sdv-pii-pw5jx,sdv-pii-a9kfh,AAP,3,26 Crore+,10 Crore+,Nebraska,10th Pass
160,660,sdv-pii-myzwy,sdv-pii-4b8jf,BJP,1,19 Crore+,43 Lac+,West Virginia,10th Pass
161,661,sdv-pii-qom0k,sdv-pii-hcg6v,DMK,0,0,41 Lac+,Missouri,10th Pass
162,662,sdv-pii-x4pnt,sdv-pii-mmpak,YSRCP,0,3 Crore+,10 Lac+,New York,Post Graduate
163,663,sdv-pii-jk8sn,sdv-pii-34rkd,BJP,6,9 Crore+,2 Crore+,New Jersey,8th Pass
164,664,sdv-pii-kbk13,sdv-pii-pf7tl,BJP,0,91 Lac+,2 Lac+,Delaware,12th Pass
165,665,sdv-pii-mnvy5,sdv-pii-vxs5j,SHS,7,0,20 Lac+,Texas,12th Pass
166,666,sdv-pii-vc9or,sdv-pii-9nag4,BJP,2,26 Crore+,7 Crore+,Ohio,Post Graduate
167,667,sdv-pii-9b5qn,sdv-pii-mbgyv,BJP,2,5 Crore+,0,Alabama,Graduate Professional
168,668,sdv-pii-qp6yo,sdv-pii-goh1r,BJP,1,76 Lac+,11 Lac+,Arizona,Graduate Professional
169,669,sdv-pii-hgboc,sdv-pii-tt6xr,BJP,1,1 Crore+,4 Crore+,Ohio,Graduate
170,670,sdv-pii-xwxw1,sdv-pii-rsrpc,BJP,0,3 Crore+,9 Lac+,Missouri,Graduate
171,671,sdv-pii-gnn7j,sdv-pii-34t3f,BJP,1,15 Thou+,50 Lac+,Rhode Island,Post Graduate
172,672,sdv-pii-si830,sdv-pii-c9swb,BJP,2,7 Crore+,1 Crore+,Ohio,Graduate Professional
173,673,sdv-pii-v1tx2,sdv-pii-jzwxa,JMM,1,0,28 Lac+,North Carolina,10th Pass
174,674,sdv-pii-7fm6o,sdv-pii-pdjch,BJP,0,66 Lac+,9 Lac+,Iowa,10th Pass
175,675,sdv-pii-iwgc1,sdv-pii-3842t,RJD,0,6 Crore+,17 Lac+,Florida,Graduate
176,676,sdv-pii-i6p6p,sdv-pii-d5spy,SP,1,4 Crore+,0,Virginia,8th Pass
177,677,sdv-pii-k21y5,sdv-pii-07gza,JMM,0,0,15 Crore+,Alaska,Graduate Professional
178,678,sdv-pii-fgaxz,sdv-pii-f7s95,BJP,3,1 Crore+,4 Lac+,Rhode Island,10th Pass
179,679,sdv-pii-yze3v,sdv-pii-nvpck,BJP,1,64 Crore+,63 Lac+,California,Graduate
180,680,sdv-pii-aplhp,sdv-pii-dp8so,IND,0,99 Lac+,77 Crore+,Montana,Post Graduate
181,681,sdv-pii-pa51v,sdv-pii-f3bhk,BJP,1,2 Crore+,0,Wyoming,12th Pass
182,682,sdv-pii-d072v,sdv-pii-vcktc,BJP,0,0,50 Lac+,North Dakota,12th Pass
183,683,sdv-pii-ocjr9,sdv-pii-p4gmf,BJP,3,90 Lac+,19 Crore+,Georgia,Post Graduate
184,684,sdv-pii-u67hl,sdv-pii-r95lq,BJP,0,9 Crore+,41 Lac+,Oregon,Graduate Professional
185,685,sdv-pii-e7m74,sdv-pii-j71ll,BJP,0,102 Crore+,3 Crore+,Tennessee,Post Graduate
186,686,sdv-pii-mse8n,sdv-pii-obgi9,RJD,3,1 Crore+,4 Lac+,California,Graduate Professional
187,687,sdv-pii-godvp,sdv-pii-eh12t,BJP,0,45 Lac+,30 Thou+,Washington,Graduate
188,688,sdv-pii-frjxg,sdv-pii-kh500,BJP,1,20 Crore+,95 Lac+,Maine,Post Graduate
189,689,sdv-pii-6c2ht,sdv-pii-qe1i3,BJP,3,0,0,Georgia,Literate
190,690,sdv-pii-0fcnc,sdv-pii-l209s,BJP,0,6 Crore+,10 Lac+,Louisiana,Literate
191,691,sdv-pii-5nrph,sdv-pii-ac5y6,BJP,0,52 Crore+,25 Lac+,Idaho,Post Graduate
192,692,sdv-pii-mb067,sdv-pii-lv022,NCP,0,1 Crore+,0,South Carolina,Graduate
193,693,sdv-pii-hfak5,sdv-pii-ii8zl,BJP,5,2 Crore+,10 Lac+,Texas,Post Graduate
194,694,sdv-pii-h8fky,sdv-pii-nv2gq,INC,0,65 Lac+,24 Lac+,Iowa,Post Graduate
195,695,sdv-pii-yt3xb,sdv-pii-w74jy,BJP,3,15 Crore+,98 Lac+,Texas,Graduate
196,696,sdv-pii-7a6y6,sdv-pii-628bl,IND,3,67 Crore+,6 Lac+,Georgia,Post Graduate
197,697,sdv-pii-ql0fr,sdv-pii-zdd7h,NPP,2,62 Lac+,33 Lac+,Oregon,10th Pass
198,698,sdv-pii-pz5f3,sdv-pii-3npbu,AAP,2,78 Lac+,16 Crore+,New Jersey,10th Pass
199,699,sdv-pii-bni7o,sdv-pii-8g600,INC,1,20 Crore+,0,Alabama,Graduate Professional
200,700,sdv-pii-9a6ep,sdv-pii-31rnx,BJD,1,42 Crore+,0,New Mexico,Graduate
201,701,sdv-pii-cv32k,sdv-pii-uhpkf,BJP,2,2 Crore+,6 Crore+,Louisiana,Post Graduate
202,702,sdv-pii-fnni5,sdv-pii-depmx,CPI(M),1,2 Crore+,80 Thou+,Hawaii,Post Graduate
203,703,sdv-pii-eigqv,sdv-pii-zk2ee,INC,1,0,33 Lac+,Maryland,Graduate
204,704,sdv-pii-a8z3g,sdv-pii-0wxq3,JD(U),1,41 Crore+,0,Wisconsin,Graduate
205,705,sdv-pii-u8qr2,sdv-pii-na268,AITC,0,1 Crore+,0,Minnesota,Graduate
206,706,sdv-pii-w0zab,sdv-pii-jtht3,BJP,1,3 Crore+,37 Lac+,Montana,Graduate
207,707,sdv-pii-d0qai,sdv-pii-qjlhd,BJP,0,32 Crore+,43 Lac+,Maryland,10th Pass
208,708,sdv-pii-4rusv,sdv-pii-84ocg,BJP,3,15 Crore+,9 Lac+,California,Post Graduate
209,709,sdv-pii-l8lt7,sdv-pii-86cd5,AITC,2,98 Lac+,25 Lac+,Illinois,Graduate
210,710,sdv-pii-vabn8,sdv-pii-pbbm5,AITC,0,0,15 Lac+,New Jersey,12th Pass
211,711,sdv-pii-9q6cu,sdv-pii-t68vn,SP,1,4 Crore+,0,Oregon,10th Pass
212,712,sdv-pii-yz0gn,sdv-pii-fsw75,TDP,0,83 Lac+,80 Thou+,Arkansas,Graduate
213,713,sdv-pii-fn11s,sdv-pii-1886v,BJP,0,5 Crore+,45 Lac+,Nevada,Post Graduate
214,714,sdv-pii-s53rg,sdv-pii-nqrgz,AAP,1,5 Crore+,34 Lac+,Kansas,Graduate
215,715,sdv-pii-whadi,sdv-pii-6geku,BJP,0,105 Crore+,79 Lac+,Virginia,Doctorate
216,716,sdv-pii-lfrm0,sdv-pii-m4e6d,JD(U),6,0,67 Lac+,South Dakota,12th Pass
217,717,sdv-pii-zbzg7,sdv-pii-5nunq,BJP,3,1156 Crore+,19 Crore+,New Hampshire,Graduate
218,718,sdv-pii-e4o2h,sdv-pii-gl17b,BJP,1,39 Lac+,20 Lac+,Virginia,Post Graduate
219,719,sdv-pii-8u6g9,sdv-pii-2ho2n,INC,3,45 Crore+,1 Lac+,Colorado,Graduate Professional
220,720,sdv-pii-zjzfx,sdv-pii-biwj8,INC,3,2 Crore+,0,North Carolina,Doctorate
221,721,sdv-pii-ke5qe,sdv-pii-zslxw,BJP,0,1 Crore+,0,New York,Graduate
222,722,sdv-pii-rxiyt,sdv-pii-7pa18,CPI(M),1,5 Crore+,10 Crore+,Utah,12th Pass
223,723,sdv-pii-lf95p,sdv-pii-cml3o,INC,1,41 Lac+,24 Lac+,Georgia,Post Graduate
224,724,sdv-pii-98r5u,sdv-pii-u8fsf,JMM,2,1 Crore+,13 Lac+,Maine,10th Pass
225,725,sdv-pii-ohhuq,sdv-pii-wwd8g,INC,1,15 Crore+,3 Lac+,Kansas,Graduate
226,726,sdv-pii-o9ig2,sdv-pii-u9r3p,SP,29,39 Lac+,0,Texas,Graduate Professional
227,727,sdv-pii-313p1,sdv-pii-1dgfa,TDP,0,5 Lac+,12 Lac+,Nebraska,Graduate
228,728,sdv-pii-zlqmp,sdv-pii-r7kdu,AITC,4,10 Crore+,0,New Jersey,12th Pass
229,729,sdv-pii-qhspp,sdv-pii-7jeg1,BJP,0,34 Lac+,20 Lac+,Arkansas,Post Graduate
230,730,sdv-pii-b3kor,sdv-pii-eypss,BJP,0,2 Crore+,1 Crore+,Kentucky,10th Pass
231,731,sdv-pii-7gprj,sdv-pii-6kbyt,CPI(M),1,3 Crore+,5 Lac+,Louisiana,Doctorate
232,732,sdv-pii-tg11l,sdv-pii-uytol,BJP,0,1156 Crore+,0,Montana,12th Pass
233,733,sdv-pii-y6rop,sdv-pii-yi631,NPP,8,4 Crore+,0,Connecticut,Graduate Professional
234,734,sdv-pii-mz1lm,sdv-pii-qsnbh,NCP,3,6 Crore+,4 Lac+,New Mexico,Post Graduate
235,735,sdv-pii-4ab28,sdv-pii-ibs4t,Tipra Motha Party,2,4 Crore+,3 Crore+,Pennsylvania,Graduate
236,736,sdv-pii-gcch5,sdv-pii-wsmac,IND,2,0,3 Lac+,Oklahoma,12th Pass
237,737,sdv-pii-xh7ji,sdv-pii-c5i8r,BJP,6,115 Crore+,78 Lac+,West Virginia,Graduate Professional
